Cost,NLoadEos,PLoadEos,SLoadEos,NLoadEor,PLoadEor,SLoadEor,NLoadEot,PLoadEot,SLoadEot
174699.0,1153720.2318810902,149767.34224481767,284059987.9104632,845568.5936441133,83673.80354518045,81477205.46213312,627881.4683266084,74732.744302849,98540636.89197722
201067.0,1151046.9617813616,149312.17038144186,283434256.99774396,843728.467845527,83449.00608743394,81335352.97068404,626567.8595459327,74531.98158720566,98369002.47416916
140169.0,1161546.0598859475,152361.3071190053,287180852.05264044,851183.5375480528,85101.79267563281,82246181.39054063,632527.1141287485,76008.05666008242,99471059.29367328
119403.0,1169278.2148251557,155678.68476236486,291410835.07006305,856321.1039571053,86849.88846504656,83173558.46477345,636740.8353312924,77569.25072964851,100593139.1570475
186163.0,1151278.23597734,149295.020494786,283566242.6579399,844035.9977348542,83452.832480875,81375350.26452163,626709.4245810183,74535.3988729083,98417397.19865786
324746.0,1147541.659180975,149474.75459496037,283540821.6964634,841283.504111487,83570.0758535499,81367293.31851739,624784.0271304693,74640.10689819185,98407648.69707972
180190.0,1153258.5073004991,150310.44610713553,284509864.46531403,845278.4017355159,83933.84460422814,81601993.86787951,627937.5035112366,74964.98246833596,98691624.61979704
262123.0,1147731.5814251502,149320.92913989123,283259291.63499784,841288.9717055049,83454.46945757835,81285887.89231999,624824.7478704201,74536.86082844688,98309152.20407441
160027.0,1154769.8750946836,150589.18690986978,285165241.16892344,846725.5235882332,84268.9993659911,81825936.80198334,628919.8244934452,75264.30338062227,98962584.3662526
211444.0,1150837.923758408,150273.4632884586,284602243.6663094,843474.042372312,83945.6924213288,81578648.70702906,626494.2016683356,74975.56354856445,98663378.14312066
103344.0,1171628.9772672383,156511.61884974578,291158592.549639,858776.0921440031,87657.4710003841,83478670.40966125,636595.8067640575,78290.48870327063,100962309.345686
138316.0,1166264.393748756,155467.0383142008,290907576.10632735,854240.523209719,86713.20805154768,83053800.14706098,635034.30300255,77447.18381988733,100448237.58409466
228980.0,1149031.940439688,149529.64507542658,283864942.36572343,842521.8897445104,83622.62266791036,81432057.41765794,625482.5835543248,74687.03554789798,98486010.01690783
249866.0,1147999.3708371643,149698.83484137038,283933986.17097723,841694.9163361137,83692.88772858176,81464624.13849251,624961.0723552896,74749.78805647453,98525414.11981258
109386.0,1170729.1005690952,155968.62045283755,291909176.0170839,857865.557496407,87371.78240389765,83424374.87865031,638097.6975643705,78035.3451663556,100896614.46955486
360097.0,1146998.2711079142,149418.97736257224,283369144.672369,840805.4051518262,83521.47931413556,81316408.6418024,624489.464172943,74596.70617061469,98346080.7840025
149005.0,1159661.4425691958,152173.82746154125,287470449.8155971,850680.9350440599,85352.32952436744,82412664.98789272,631917.50458802,76231.8067799677,99672496.11733578
